term,p-value,q-value
IGF1R/AKT Signaling in Breast Cancer,0.042152350529806835,0.07951013105585636
Proteins Involved in Mucinous Ovarian Carcinoma,0.042152350529806835,0.07951013105585636
Ependymoma,0.042152350529806835,0.07951013105585636
VEGFR -> AP-1/CREB/MYC Signaling,0.042152350529806835,0.07951013105585636
MicroRNAs Role in Melanoma,0.042152350529806835,0.07951013105585636
Adiponectin Synthesis Declines in Insulin Resistance,0.04311225942960537,0.07951013105585636
Adipokines Production by Adipocyte Impaired in Obesity,0.04311225942960537,0.07951013105585636
Arterial Hypertension,0.04311225942960537,0.07951013105585636
beta-Cell Mass Regulation,0.04311225942960537,0.07951013105585636
Splenic Marginal Zone Lymphoma,0.044071254437806,0.07951013105585636
Adipokines Production by Adipocyte,0.045029336387548594,0.07951013105585636
Proteins Involved in Clear Cell Ovarian Carcinoma,0.045029336387548594,0.07951013105585636
TGFBR Signaling in Pancreatic Neoplasms,0.045986506096482256,0.07951013105585636
Tubular Cell Dysfunction in Progressive Diabetic Nephropathy,0.045986506096482256,0.07951013105585636
"BSG (CD147) in Cancer Cells Motility, Invasion and Survival",0.045986506096482256,0.07951013105585636
IL6/IGF1/VEGFA Signaling in Multiple Myeloma,0.045986506096482256,0.07951013105585636
Bone Loss in Osteoporosis,0.046942764384003306,0.07951013105585636
Proteins Involved in Endometrioid Ovarian Carcinoma,0.046942764384003306,0.07951013105585636
Proteins Involved in Low-Grade Serous Ovarian Carcinoma,0.046942764384003306,0.07951013105585636
"Glioblastoma, Primary",0.046942764384003306,0.07951013105585636
Polycystins Mutation Effects in Cystic Kidney Disease,0.04789811206941787,0.07951013105585636
mTOR/NF-kB/BCR Signaling Disregulation in Mantle Cell Lymphoma,0.04789811206941787,0.07951013105585636
EGFR -> AP-1/CREB/ELK/SRF/MYC Signaling,0.04789811206941787,0.07951013105585636
Mesangial Cell Dysfunction in Diabetic Nephropathy,0.04789811206941787,0.07951013105585636
Proteins Involved in Endometrial Cancer,0.04885254998202776,0.07951013105585636
Cortisol in Resolving Inflammation,0.04885254998202776,0.07951013105585636
Smooth Muscle Cell Dysfunction in Arterial Hypertension,0.04885254998202776,0.07951013105585636
Synovial Fibroblast Activation in Psoriatic Arthritis,0.04885254998202776,0.07951013105585636
"Glioblastoma, Secondary",0.04885254998202776,0.07951013105585636
Myocardial Remodeling,0.04980607892472869,0.07951013105585636
NTRK -> AP-1/CREB/ELK/SRF/MYC/SMAD3/TP53 Signaling,0.04980607892472869,0.07951013105585636
ESR1 Signaling in Breast Cancer,0.04980607892472869,0.07951013105585636
Synovial Fibroblast Activation by Citokines in Rheumatoid Arthritis,0.04980607892472869,0.07951013105585636
